32,32,32
96,-20,-124
110,16,-128
127,127,-115
127,115,-87
84,89,-39
65,81,-10
43,59,51
-36,69,41
-76,91,27
-62,99,21
-30,84,23
57,77,-6
103,84,-21
127,74,-21
124,61,-11
102,48,-15
74,20,-19
66,5,-16
64,-53,-15
64,-94,-19
92,-126,-49
92,-63,-67
118,-26,-81
127,127,-90
127,127,-67
94,127,-48
70,116,-29
16,83,9
-56,61,12
-91,55,-1
-98,79,-8
-78,93,-2
-30,78,4
9,86,11
98,127,17
127,122,26
127,113,29
89,72,10
82,51,7
57,11,10
58,-9,14
64,-67,12
79,-95,-6
84,-69,-6
93,-22,-25
123,10,-30
127,127,-30
119,127,-37
94,126,-23
49,97,-3
33,79,-1
-13,57,5
-38,62,-2
-78,79,-11
-75,84,-22
-50,78,-6
43,102,15
104,109,24
127,107,44
127,89,45
99,44,23
68,13,10
57,1,10
40,-40,17
40,-71,4
47,-114,-22
73,-90,-6
97,-46,-25
127,42,-9
127,127,4
115,123,-14
91,117,-6
38,91,7
15,73,6
-42,58,-7
-66,60,5
-66,71,7
-48,100,-8
-32,97,-5
56,127,-6
127,127,24
127,127,19
104,73,7
95,46,9
69,5,13
59,-15,23
51,-70,16
63,-105,-8
70,-84,-9
81,-41,-43
83,-7,-52
97,127,-61
79,127,-63
32,127,-29
16,108,-22
7,79,-26
-28,45,6
0,34,20
-37,25,-25
-19,33,-20
-24,49,-19
54,96,-1
75,127,30
17,104,21
16,108,34
47,79,50
44,56,60
42,1,42
18,-36,20
4,-52,4
-11,-22,-11
1,9,17
70,105,35
115,109,44
57,94,-17
61,103,3
65,106,26
84,82,33
29,50,3
-1,17,-28
-18,-7,-23
-11,1,-31
-16,32,-10
-15,47,16
71,97,-42
101,115,-21
101,91,8
124,78,5
93,50,2
22,-5,20
3,-38,12
0,-61,-11
-5,-31,17
27,9,30
42,7,-15
86,33,3
127,109,30
122,78,17
85,103,43
83,81,27
49,50,-3
1,29,-16
-19,27,-22
-50,29,-22
-48,43,-25
-32,55,-27
-10,62,-16
71,90,-4
127,125,24
127,110,23
99,58,31
78,40,33
57,11,34
47,-5,41
37,-57,37
52,-90,20
66,-87,9
93,-46,-18
127,-23,-19
127,78,-20
127,127,-20
113,116,-26
54,100,-11
28,88,-5
-13,66,-13
-37,72,-5
-69,75,3
-52,75,-2
-38,75,2
21,90,0
81,117,17
127,127,35
127,96,27
118,46,28
94,25,25
72,6,20
44,-62,19
45,-87,16
61,-99,-15
67,-76,-23
82,-12,-38
127,87,-7
127,127,-12
101,114,-19
81,107,-7
40,78,-12
11,63,-10
-46,55,-3
-68,56,1
-71,68,-10
-38,82,-20
-19,81,-25
96,127,-19
127,127,14
127,123,22
95,55,9
80,34,12
52,3,25
45,-20,27
50,-80,37
59,-87,38
68,-62,13
70,-37,-6
127,-7,8
127,127,3
127,127,-16
93,127,-13
39,103,6
11,83,7
-57,62,-6
-85,81,3
-91,82,2
-77,80,0
-5,92,16
114,127,34
127,122,43
124,80,43
103,58,33
76,17,25
64,-9,25
60,-68,36
70,-101,19
67,-83,6
85,-46,-5
102,-26,-7
127,68,-4
127,109,6
127,127,2
43,116,-10
1,98,-9
-78,66,8
-99,69,17
-118,97,-6
-101,110,-7
-43,112,0
2,127,-18
25,127,-10
71,127,-17
80,127,-31
86,127,-35
102,127,-22
127,57,21
127,-22,13
127,-38,23
127,-23,36
127,1,29
91,65,12
63,127,-5
43,127,-41
22,127,-23
21,127,-14
15,127,-4
-3,102,4
-38,81,8
-49,118,-5
-57,118,-8
-47,86,-9
-34,54,-11
22,8,51
59,2,72
95,-10,90
66,-26,75
54,-24,63
19,-32,43
7,-48,31
-1,-82,3
-4,-79,-7
-3,-50,-12
33,-19,-68
119,48,-128
127,69,-122
73,83,-128
11,60,-55
35,43,-70
39,30,9
1,29,31
17,33,23
-4,71,25
-5,75,20
50,86,-18
127,84,-2
127,82,11
127,45,22
96,24,14
52,-12,1
44,-34,8
45,-84,19
51,-102,3
